Wk,Date,Rk,School,Prev,Chng,1st,Conf,This Week
1,Preseason,1,Georgia,NA,—,46,SEC,
1,Preseason,2,Ohio State,NA,—,15,Big Ten,
1,Preseason,3,Oregon,NA,—,1,Big Ten,
1,Preseason,4,Texas,NA,—,,SEC,
1,Preseason,5,Alabama,NA,—,,SEC,
1,Preseason,6,Ole Miss,NA,—,,SEC,
1,Preseason,7,Notre Dame,NA,—,,Ind,
1,Preseason,8,Penn State,NA,—,,Big Ten,
1,Preseason,9,Michigan,NA,—,,Big Ten,
1,Preseason,10,Florida State,NA,—,,ACC,
1,Preseason,11,Missouri,NA,—,,SEC,
1,Preseason,12,Utah,NA,—,,Big 12,
1,Preseason,13,LSU,NA,—,,SEC,
1,Preseason,14,Clemson,NA,—,,ACC,
1,Preseason,15,Tennessee,NA,—,,SEC,
1,Preseason,16,Oklahoma,NA,—,,SEC,
1,Preseason,17,Oklahoma State,NA,—,,Big 12,
1,Preseason,18,Kansas State,NA,—,,Big 12,
1,Preseason,19,Miami (FL),NA,—,,ACC,
1,Preseason,20,Texas A&M,NA,—,,SEC,
1,Preseason,21,Arizona,NA,—,,Big 12,
1,Preseason,22,Kansas,NA,—,,Big 12,
1,Preseason,23,USC,NA,—,,Big Ten,
1,Preseason,24,North Carolina State,NA,—,,ACC,
1,Preseason,25,Iowa,NA,—,,Big Ten,
