11/06/2023 Portland St.            62 Air Force               55    
11/06/2023 Morehead St.            73 Alabama                105    
11/06/2023 Morgan St.              59 Arizona                122    
11/06/2023 Alcorn St.              59 Arkansas                93    
11/06/2023 Marist                  71 Army                    55    
11/06/2023 Life                    72 Austin Peay             90    
11/06/2023 Georgia St.             87 Belmont                 89    
11/06/2023 Fairfield               70 Boston College          89    
11/06/2023 Chicago St.             41 Bowling Green           70    
11/06/2023 Manhattan               61 Bryant                  59    
11/06/2023 Delaware                78 Bucknell                57    
11/06/2023 Fairleigh Dickinson     92 Buffalo                 86    
11/06/2023 Eastern Michigan        55 Butler                  94    
11/06/2023 Houston Christian       63 BYU                    110    
11/06/2023 San Francisco St.       57 Cal Baptist             74    
11/06/2023 La Verne                62 Cal Poly                80    
11/06/2023 Southern Utah           72 Cal St. Bakersfield     73    
11/06/2023 St. Thomas              66 California              71    
11/06/2023 Navy                    48 Campbell                59    
11/06/2023 Iona                    69 Charleston              71    
11/06/2023 Toccoa Falls            59 Charleston Southern     94    
11/06/2023 Maine                   52 Charlotte               69    
11/06/2023 Covenant                44 Chattanooga             89    
11/06/2023 Illinois Chicago        58 Cincinnati              69    
11/06/2023 Winthrop                56 Clemson                 78    
11/06/2023 Piedmont                86 Coastal Carolina        88    
11/06/2023 Brown                   70 Colgate                 72    
11/06/2023 Towson                  57 Colorado                75    
11/06/2023 Louisiana Tech          73 Colorado St.            81    
11/06/2023 Northern Arizona        52 Connecticut             95    
11/06/2023 Washington & Lee        63 Davidson                86    
11/06/2023 SIU Edwardsville        47 Dayton                  63    
11/06/2023 Dartmouth               54 Duke                    92    
11/06/2023 Cleveland St.           77 Duquesne                79    
11/06/2023 Ferrum                  61 East Carolina           91    
11/06/2023 King                    56 East Tennessee St.      73    
11/06/2023 Miami OH                64 Evansville              72    
11/06/2023 Loyola MD               73 Florida                 93    
11/06/2023 Wagner                  64 Fordham                 68 1  
11/06/2023 Fresno Pacific          66 Fresno St.              77    
11/06/2023 North Greenville        68 Furman                  84    
11/06/2023 Erskine                 58 Gardner Webb            98    
11/06/2023 Monmouth                61 George Mason            72    
11/06/2023 Stonehill               44 George Washington       89    
11/06/2023 Georgia Southern        62 Georgia Tech            84    
11/06/2023 UNT Dallas              67 Grambling St.           82    
11/06/2023 Southeast Missouri St.  67 Grand Canyon            88    
11/06/2023 UMass Boston            50 Harvard                 78    
11/06/2023 St. Andrews Pres.       51 High Point             105    
11/06/2023 St. Joseph's NY         48 Hofstra                101    
11/06/2023 Louisiana Monroe        31 Houston                 84    
11/06/2023 Hampton                 80 Howard                  92    
11/06/2023 Warner Pacific          36 Idaho St.               92 n   Idaho Falls, ID
11/06/2023 Eastern Illinois        52 Illinois                80    
11/06/2023 Lourdes                 56 Illinois St.            75    
11/06/2023 St. Mary of the Woods   60 Indiana St.             90    
11/06/2023 Green Bay               44 Iowa St.                85    
11/06/2023 Spalding                63 IUPUI                   70    
11/06/2023 Johnson FL              46 Jacksonville           113    
11/06/2023 North Carolina Central  56 Kansas                  99    
11/06/2023 USC                     82 Kansas St.              69 N   Las Vegas, NV
11/06/2023 Malone                  58 Kent St.                79    
11/06/2023 New Mexico St.          46 Kentucky                86    
11/06/2023 Jarvis Christian        66 Lamar                  114    
11/06/2023 Cornell                 84 Lehigh                  78    
11/06/2023 Mid Atlantic Christian  43 Liberty                103    
11/06/2023 Texas St.               66 Little Rock             71    
11/06/2023 Youngstown St.          62 Louisiana               72    
11/06/2023 UMBC                    93 Louisville              94    
11/06/2023 Mississippi Valley St.  60 LSU                    106    
11/06/2023 Northern Illinois       70 Marquette               92    
11/06/2023 Queens                  73 Marshall                89    
11/06/2023 Jackson St.             77 Memphis                 94    
11/06/2023 Clark Atlanta           71 Mercer                  64    
